"","Transaction","Menu","Class"
"1",24796,"[SL]Beef Nabe Set","Nabe Lunch"
"2",24796,"[SL]Beef Nabe Set","Nabe Lunch"
"3",24797,"[4pc]Avo Soft Shell","Sushi Roll"
"4",24797,"Passionfruit Highball","Highball"
"5",24798,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"6",24799,"[SL]US Tenderloin Steak","Steak Lunch"
"7",24800,"[SL]Saba & Salmon Teriyaki","Steak Lunch"
"8",24800,"Hamachi Kama Yaki","Seafood"
"9",24800,"[SL]Unagi Yakiniku KM","KM Lunch"
"10",24801,"[KL]Gindara Teriyaki","Kobachi Lunch"
"11",24801,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"12",24801,"[SL]Aburi Sal Hotate Don","Donburi Lunch"
"13",24801,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"14",24801,"[8pc]Pink Dragon Roll","Sushi Roll"
"15",24801,"Chicken Karaage Karikari Gobo","MeatVeg"
"16",24802,"Shokado Bento","Bento"
"17",24802,"[SL]Deluxe Sushi","Sushi Lunch"
"18",24802,"[SL]Mixed Roll Sushi","Sushi Lunch"
"19",24803,"Kids Sushi Udon Meal","Kids"
"20",24803,"Red Apple Juice 200ml","Non-Alc"
"21",24804,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"22",24805,"Komachi Bento","Bento"
"23",24806,"[KL]Gindara Saikyo Kobachi","Kobachi Lunch"
"24",24807,"[SL]Mixed Roll Sushi","Sushi Lunch"
"25",24807,"[SL]Saba Shio & Tamago Toji","Washoku Lunch"
"26",24808,"[SL]Beef Nabe Set","Nabe Lunch"
"27",24808,"[KL]Salmon Belly Teriyaki","Kobachi Lunch"
"28",24808,"Rokugin Lychee Liqueur","Promo"
"29",24809,"[SL]Tori Unagi KM","KM Lunch"
"30",24810,"[SL]Aburi Kaisen KM","KM Lunch"
"31",24810,"[SL]Salmon Tori KM","KM Lunch"
"32",24810,"Premium Malts 380ml","Beer"
"33",24811,"[SL]Seafood Mix KM","KM Lunch"
"34",24811,"Kids Meal","Kids"
