"","24796","[SL]Beef Nabe Set"
"1",24796,"[SL]Beef Nabe Set"
"2",24797,"[4pc]Avo Soft Shell"
"3",24797,"Passionfruit Highball"
"4",24798,"[SL]Gindara & Niku Tofu Nabe"
"5",24799,"[SL]US Tenderloin Steak"
"6",24800,"[SL]Saba & Salmon Teriyaki"
"7",24800,"Hamachi Kama Yaki"
"8",24800,"[SL]Unagi Yakiniku KM"
"9",24801,"[KL]Gindara Teriyaki"
"10",24801,"[SL]Salmon Oyako Chirashi Set"
"11",24801,"[SL]Aburi Sal Hotate Don"
"12",24801,"[KL]Pork Shogayaki Kobachi"
"13",24801,"[8pc]Pink Dragon Roll"
"14",24801,"Chicken Karaage Karikari Gobo"
"15",24802,"Shokado Bento"
"16",24802,"[SL]Deluxe Sushi"
"17",24802,"[SL]Mixed Roll Sushi"
"18",24803,"Kids Sushi Udon Meal"
"19",24803,"Red Apple Juice 200ml"
"20",24804,"[SL]Aburi Kaisen Bara Chirashi"
"21",24805,"Komachi Bento"
"22",24806,"[KL]Gindara Saikyo Kobachi"
"23",24807,"[SL]Mixed Roll Sushi"
"24",24807,"[SL]Saba Shio & Tamago Toji"
"25",24808,"[SL]Beef Nabe Set"
"26",24808,"[KL]Salmon Belly Teriyaki"
"27",24808,"Rokugin Lychee Liqueur"
"28",24809,"[SL]Tori Unagi KM"
"29",24810,"[SL]Aburi Kaisen KM"
"30",24810,"[SL]Salmon Tori KM"
"31",24810,"Premium Malts 380ml"
"32",24811,"[SL]Seafood Mix KM"
"33",24811,"Kids Meal"
"34",24811,"Chawanmushi"
"35",24812,"[SL]Nama Bara Chirashi Set"
"36",24812,"[SL]Teriyaki Wagyu Harami Don"
"37",24813,"[KL]Sashimi Mori Kobachi"
"38",24814,"[SL]Aburi Kaisen Bara Chirashi"
"39",24814,"[KL]Sashimi Mori Kobachi"
"40",24814,"[SL]Seafood Mix KM"
"41",24814,"[SL]Seafood Mix KM"
"42",24814,"[SL]Aburi Kaisen KM"
"43",24814,"[KL]Salmon Belly Teriyaki"
"44",24814,"[KL]Pork Shogayaki Kobachi"
"45",24814,"[KL]Chicken Teriyaki Kobachi"
"46",24815,"[SL]Una Don"
"47",24816,"[SL]SUN Chirashi"
"48",24817,"[SL]Salmon Tori KM"
"49",24817,"[8pc]Sp Aburi Salmon Roll"
"50",24818,"[SL]Gindara & Niku Tofu Nabe"
"51",24818,"[SL]Teriyaki Wagyu Harami Don"
"52",24818,"Foie Gras Sushi"
"53",24818,"Hirame Sushi"
"54",24818,"Hamachi Sushi"
"55",24818,"Tai Sushi"
"56",24818,"pc Tobiko Sushi"
"57",24819,"[KL]Salmon Belly Shioyaki"
"58",24819,"[KL]Saba Shioyaki Kobachi"
"59",24819,"Gin x Mint"
"60",24820,"Shokado Bento"
"61",24820,"[SL]SUN Sauce Katsu Don"
"62",24820,"Moonlight"
"63",24821,"[SL]Unagi Salmon Chirashi"
"64",24821,"[SL]Unagi Yakiniku KM"
"65",24821,"[2p]Salmon Sashimi 3K"
"66",24822,"[SL]Una Don"
"67",24822,"[SL]Aburi Sal Hotate Don"
"68",24823,"[SL]Hotate Unagi Sal Chirashi"
"69",24823,"[SL]Gindara & Niku Tofu Nabe"
"70",24824,"[2p]Sashimi 5K"
"71",24824,"[SL]Aburi Kaisen KM"
"72",24824,"Concord Tea"
"73",24825,"[SL]Gindara & Niku Tofu Nabe"
"74",24825,"[SL]Teriyaki Wagyu Harami Don"
"75",24825,"[SL]Teriyaki Wagyu Harami Don"
"76",24825,"Gindara Teriyaki"
"77",24825,"Sashimi Salad"
"78",24826,"[SL]Tendon Set"
"79",24826,"[SL]Yakiniku KM"
"80",24827,"[SL]Unagi Yakiniku KM"
"81",24827,"[SL]Dbl Tori KM"
"82",24827,"[SL]Salmon Tori KM"
"83",24828,"[SL]US Tenderloin Steak"
"84",24828,"Komachi Bento"
"85",24829,"[SL]Hotate Unagi Sal Chirashi"
"86",24829,"[SL]Niku Atsu Hotate Unagi KM"
"87",24829,"[SL]Aburi Kaisen KM"
"88",24830,"[SL]Buta Don Set"
"89",24830,"muroka nama summer"
"90",24831,"[SL]Unagi Salmon Chirashi"
"91",24831,"[SL]Salmon Teri & Chicken"
"92",24832,"Komachi Bento"
"93",24832,"[KL]Chicken Teriyaki Kobachi"
"94",24833,"Shokado Bento"
"95",24833,"[SL]Kaisen Mix Nabe Set"
"96",24834,"[SL]Temp Soba & Mini Sal Don"
"97",24834,"Tofu Parfait"
"98",24835,"[SL]Hotate Unagi Sal Chirashi"
"99",24835,"[SL]Temp Soba & Mini Sal Don"
"100",24835,"[SL]Tori Unagi KM"
"101",24835,"[SL]Unagi Yakiniku KM"
"102",24835,"[SL]Aburi Sal Hotate Don"
"103",24835,"[KL]Chicken Teriyaki Kobachi"
"104",24836,"Kubota Senjyu"
"105",24836,"[SL]Beef Nabe Set"
"106",24837,"Komachi Bento"
"107",24838,"[SL]Hotate Unagi Sal Chirashi"
"108",24838,"[SL]Aburi Kaisen KM"
"109",24838,"[SL]Salmon Tori KM"
"110",24839,"[SL]Nama Bara Chirashi Set"
"111",24839,"[SL]Yakimono & Sashimi 3K"
"112",24839,"[SL]SUN Sauce Katsu Don"
"113",24839,"KM Soup"
"114",24840,"[SL]Aburi Kaisen KM"
"115",24840,"[SL]Una Don"
"116",24840,"[SL]Yakiniku KM"
"117",24841,"Komachi Bento"
"118",24841,"Rokugin Lychee Liqueur"
"119",24842,"[KL]Sashimi Mori Kobachi"
"120",24842,"[SL]Una Don"
"121",24842,"[SL]Yakiniku KM"
"122",24843,"[KL]Gindara Saikyo Kobachi"
"123",24843,"Rokugin Lychee Liqueur"
"124",24844,"[SL]Unagi Salmon Chirashi"
"125",24844,"[SL]Unagi Yakiniku KM"
"126",24845,"[SL]Tokusen Tendon"
"127",24846,"[KL]Sashimi Mori Kobachi"
"128",24846,"[SL]Teriyaki Wagyu Harami Don"
"129",24846,"[SL]Nabe Udon & Roll"
"130",24846,"[SL]Salmon Oyako Chirashi Set"
"131",24846,"[KL]Saba Shioyaki Kobachi"
"132",24847,"[SL]Nama Bara Chirashi Set"
"133",24847,"[SL]Nama Bara Chirashi Set"
"134",24847,"[SL]Aburi Kaisen Bara Chirashi"
"135",24847,"[SL]Beef Nabe Set"
"136",24847,"[KL]Salmon Belly Shioyaki"
"137",24848,"[SL]Temp Soba & Mini Sal Don"
"138",24848,"[KL]Saba Shioyaki Kobachi"
"139",24848,"[4pc]Sp Aburi Salmon Roll"
"140",24849,"[SL]Salmon Teri & Chicken"
"141",24849,"[SL]Unagi Yakiniku KM"
"142",24849,"[SL]Tori Unagi KM"
"143",24849,"Ebi Tempura"
"144",24849,"Kids Sushi Udon Meal"
"145",24850,"[KL]Chicken Teriyaki Kobachi"
"146",24850,"[KL]Chicken Teriyaki Kobachi"
"147",24850,"Maguro Sashimi"
"148",24850,"Salmon Sashimi"
"149",24851,"[SL]Premium Seafood KM"
"150",24851,"[KL]Gindara Saikyo Kobachi"
"151",24851,"[SL]Una Don"
"152",24851,"[KL]Pork Shogayaki Kobachi"
"153",24852,"[SL]Hotate Unagi Sal Chirashi"
"154",24853,"[KL]Salmon Belly Teriyaki"
"155",24853,"[4pc]Nixon Roll"
"156",24853,"[4pc]Sp Aburi Salmon Roll"
"157",24854,"[SL]US Tenderloin Steak"
"158",24854,"Komachi Bento"
"159",24854,"[SL]Unagi Salmon Chirashi"
"160",24854,"Salmon Sashimi"
"161",24855,"[SL]Aburi Kaisen KM"
"162",24855,"[KL]Pork Shogayaki Kobachi"
"163",24856,"Shokado Bento"
"164",24856,"[SL]Temp Soba & Mini Sal Don"
"165",24857,"[KL]Sashimi Mori Kobachi"
"166",24857,"[SL]Aburi Sal Hotate Don"
"167",24858,"[SL]Seafood Mix KM"
"168",24858,"[SL]Tori Unagi KM"
"169",24859,"[KL]Pork Shogayaki Kobachi"
"170",24860,"[SL]Aburi Kaisen Bara Chirashi"
"171",24860,"Mixed Roll Sushi"
"172",24861,"[SL]Teriyaki Wagyu Harami Don"
"173",24861,"[SL]Una Don"
"174",24862,"[SL]Teriyaki Wagyu Harami Don"
"175",24862,"[SL]Una Don"
"176",24863,"Shokado Bento"
"177",24863,"[SL]Gindara & Niku Tofu Nabe"
"178",24863,"[SL]Seafood Mix KM"
"179",24863,"[SL]Salmon Tori KM"
"180",24863,"[SL]Yakiniku KM"
"181",24864,"Shokado Bento"
"182",24864,"Mixed Roll Sushi"
"183",24865,"[SL]Kaisen Mix Nabe Set"
"184",24866,"[SL]Salmon Oyako Chirashi Set"
"185",24866,"[KL]Pork Shogayaki Kobachi"
"186",24866,"Oreo Cake"
"187",24867,"[SL]Aburi Kaisen Bara Chirashi"
"188",24867,"[SL]Unagi Yakiniku KM"
"189",24867,"[SL]Yakiniku KM"
"190",24868,"Shokado Bento"
"191",24868,"[KL]Sashimi Mori Kobachi"
"192",24868,"[SL]Saba & Salmon Teriyaki"
"193",24869,"[CS]Canadian Tonkatsu"
"194",24870,"Sparkling Water 750ml"
"195",24871,"[SD]Salmon Sushi Mori Set"
"196",24871,"Salmon Sushi Mori"
"197",24872,"[DS]Premium Kaisen Nabe"
"198",24872,"[SD]Niku Atsu Hotate Unagi KM"
"199",24872,"[6pc]Aburi Salmon Oshi Sushi"
"200",24873,"[SD]Gindara Teri & Sal Avo Sld"
"201",24873,"Kurogoma Pudding"
"202",24874,"[SD]Aburi Kaisen Chirashi KM"
"203",24874,"[2p]Salmon Sashimi 3K"
"204",24875,"[SD]Gindara Teri & Sal Avo Sld"
"205",24875,"[DS]Beef Nabe"
"206",24875,"Eihire Aburi"
"207",24875,"Tofu Parfait"
"208",24876,"[SD]Nama Kaisen Bara Chirashi"
"209",24876,"Aus Wagyu Harami Don"
"210",24876,"[4pc]Pink Dragon Roll"
"211",24877,"[SD]CA Tonkatsu & Salmon"
"212",24877,"Cha Soba"
"213",24877,"Maguro Rare Grill"
"214",24877,"Aburi Salmon Carpaccio"
"215",24877,"Gyu Tan Kosho Yaki"
"216",24877,"Premium Malts 380ml"
"217",24878,"[SD]Niku Atsu Hotate Unagi KM"
"218",24878,"[DS]Kaisen Mix Nabe"
"219",24879,"[SD]Unagi & Salmon Chirashi"
"220",24879,"Unagi Yakiniku KM"
"221",24879,"Salmon Oyako Chirashi"
"222",24879,"[8pc]Sp Aburi Salmon Roll"
"223",24879,"Dessert Trio"
"224",24879,"Premium Malts 380ml"
"225",24879,"Hokkaido Brown Sugar Milk"
"226",24879,"Hokkaido Milk"
"227",24880,"[8pc]Nixon Roll"
"228",24880,"Hamachi Kama Yaki"
"229",24880,"Tokusen Tendon"
"230",24880,"Saba Shioyaki"
"231",24880,"[4pc]Paradise Roll"
"232",24881,"[2p]Sashimi 3K"
"233",24881,"Surume Ika Teriyaki"
"234",24881,"Saba Shioyaki"
"235",24881,"[4pc]Avo Soft Shell"
"236",24881,"Yuzu Umeshu 80ml"
"237",24882,"[DS]Chicken Nabe"
"238",24882,"[3p]Salmon Sashimi 3K"
"239",24882,"Canadian Tonkatsu"
"240",24882,"Dashimaki Tamago"
"241",24883,"[SD]Temari Sushi & Jp Wagyu"
"242",24883,"[SD]Deluxe Sushi Set"
"243",24883,"[SD]Tori & Unagi KM"
"244",24883,"[SD]CA Tonkatsu & Salmon"
"245",24883,"Kids Sushi Udon Meal"
"246",24884,"[SD]Una Don & Pork Yanagawa"
"247",24884,"[DS]Beef Nabe"
"248",24884,"SUNgria Red Jug"
"249",24884,"Hotate Enoki Beef Roll"
"250",24884,"Foie Gras Millefeuille"
"251",24884,"Ika Ichiya Boshi Aburi"
"252",24885,"Steak Moriawase"
"253",24885,"[3p]Sashimi 3K"
"254",24885,"[3p]Salmon Sashimi 3K"
"255",24885,"[6pc]Unagi Oshi Sushi"
"256",24885,"[8pc]Pink Dragon Roll"
"257",24885,"Canadian Tonkatsu"
"258",24885,"Ebi Tempura"
"259",24885,"Salmon Belly Shioyaki"
"260",24885,"Sashimi Salad"
"261",24885,"Ika Ichiya Boshi Aburi"
"262",24885,"Pork & Seafood Okonomiyaki"
"263",24885,"Pear Blanc"
"264",24885,"Bellini"
"265",24885,"Dashimaki Tamago"
"266",24886,"Kaisen Mix Nabe"
"267",24886,"Chutoro Sushi"
"268",24886,"Crispy Fried Apple Pie"
"269",24886,"Unagi Sushi"
"270",24887,"Nasu Ebi Dengaku"
"271",24888,"[SD]Hanakago Bento"
"272",24888,"[SD]Seafood Mix KM"
"273",24888,"Regional Sake Samp"
"274",24889,"[SD]Hotate Sal Una Chirashi"
"275",24889,"[SD]Una Don & Pork Yanagawa"
"276",24889,"Aburi Kaisen Bara Chirashi"
"277",24889,"[8pc]Sp Aburi Salmon Roll"
"278",24889,"Kids Sushi Udon Meal"
"279",24890,"Yuzu Honey Tea"
"280",24890,"Yuzu Honey Tea"
"281",24890,"Yuzu Honey Tea"
"282",24891,"[SD]Nama Kaisen Bara Chirashi"
"283",24891,"[SD]Aus Wagyu Don & Una Yana"
"284",24891,"[2p]Sashimi 3K"
"285",24891,"Hot Sake 120ml"
"286",24891,"Mozza Koromo Age"
"287",24891,"Okinawa Island"
"288",24891,"Orange Juice 200ml"
"289",24892,"Salmon & Tori KM"
"290",24892,"Nasu Ebi Dengaku"
"291",24892,"Tako Red Ginger Chigiri Age"
"292",24892,"Yoghurt Hokkaido"
"293",24893,"Premium Seafood KM"
"294",24893,"[SD]Aus Wagyu Don & Una Yana"
"295",24893,"Tofu Parfait"
"296",24894,"[3p]Sashimi 7K"
"297",24894,"[SD]Hanakago Bento"
"298",24894,"Chef Special Sushi Mori"
"299",24894,"JP Wagyu Steak"
"300",24894,"[SD]Aburi Bara Chirashi Set"
"301",24894,"Hamachi Kama Yaki"
"302",24894,"[8pc]Crispy Salmon Mango Roll"
"303",24894,"Ebi Tempura"
"304",24894,"Foie Gras Millefeuille"
"305",24894,"Hot Sake 240ml"
"306",24894,"Aburi Hotate Carpaccio"
"307",24894,"Sun Shake Salad"
"308",24894,"Aburi Salmon Carpaccio"
"309",24894,"Chicken Karaage Karikari Gobo"
"310",24894,"Chutoro Sushi"
